name,season,team,player,score,position,age,squad,goals,order,last
,,Colombia vs Argentina,Juan Cuadrado,o,mf,33,111,9,1,0
,,,Lionel Messi,o,fw,34,157,76,1,0
,,,Davinson Sanchez,x,df,25,48,0,2,0
,,,Rodrigo de Paul,x,mf,27,30,1,2,0
,,,Yerry Mina,x,df,27,46,7,3,0
,,,Leandro Paredes,o,mf,27,44,4,3,0
,,,Miguel Borja,o,fw,28,27,5,4,0
,,,Lautaro Martinez,o,fw,24,33,14,4,0
,,,Edwin Cardona,x,mf,29,58,6,5,1
Africa Nations Cup,2017,Senegal vs Cameroon,Kalidou Koulibaly,o,df,26,18,0,1,0
,,,Benjamin Moukandjo,o,fw,29,50,7,1,0
,,,Kara Mbodj,o,df,28,40,3,2,0
,,,Ambroise Oyongo,o,df,26,30,1,2,0
,,,Moussa Sow,o,fw,31,47,15,3,0
,,,Adolphe Teiku,o,df,27,14,0,3,0
,,,Henri Saivet,o,mf,27,21,1,4,0
,,,Jacques Zoua,o,fw,26,25,0,4,0
,,,Sadio Mane,x,fw,25,44,12,5,1
,,,Vincent Aboubakar,o,fw,25,64,15,5,1
,,Egypt vs Burkina Faso,Abdallah El Said,x,mf,32,32,6,1,0
,,,Alain Traore,o,mf,29,44,16,1,0
,,,Ramadan Sobhi,o,fw,20,17,1,2,0
,,,Banou Diawara,o,fw,25,15,3,2,0
,,,Ahmed Hegazy,o,df,26,40,1,3,0
,,,Steeve Yago,o,df,25,36,0,3,0
,,,Mohamed Salah,o,fw,25,51,29,4,0
,,,Herve Koffi,x,gk,21,11,0,4,0
,,,Amr Warda,o,fw,24,12,0,5,1
,,,Bertrand Traore,x,fw,22,40,4,5,1
,2019,Ghana vs Tunisia,Mubarak Wakaso,o,mf,29,61,11,1,0
,,,Naim Sliti,o,fw,27,39,10,1,0
,,,Jordan Ayew,o,fw,28,64,15,2,0
,,,Wahbi Khazri,o,fw,28,58,16,2,0
,,,Caleb Ekuban,x,fw,25,7,2,3,0
,,,Dylan Bronn,o,df,24,21,1,3,0
,,,Lumor Agbenyenu,o,df,23,17,0,4,0
,,,Yassine Meriah,o,df,26,44,3,4,0
,,,Thomas Partey,o,mf,26,27,8,5,1
,,,Ferjani Sassi,o,mf,27,62,5,5,1
,,Madagascar vs Congo,Ibrahim Amada,o,mf,29,21,1,1,0
,,,Marcel Tisserand,x,df,26,21,0,1,0
,,,Romain Metanire,o,df,29,11,0,2,0
,,,Cedric Bakambu,o,fw,28,28,11,2,0
,,,Thomas Fontaine,o,df,28,16,0,3,0
,,,Paul-Jose Mpoku,o,mf,27,24,6,3,0
,,,Jerome Mombris,o,df,32,15,0,4,1
,,,Yannick Bolasie,x,fw,30,41,9,4,1
,,Benin vs Morocco,Olivier Verdon,o,df,24,14,0,1,0
