name,season,team,player,score,position,age,goals,period,order,last
,,,Ben Stevenson,o,mf,24,4,1,6,0
,,,Saikou Janneh,o,mf,21,1,2,6,0
,,,Dan Sweeney,o,df,27,1,2,7,1
,,,Cameron Pring,x,df,23,0,1,7,1
,,Barnsley vs Bolton,Josh Benson,o,mf,22,0,1,1,0
,,,Antoni Sarcevic,o,mf,29,10,2,1,0
,,,Herbie Kane,o,mf,23,2,2,2,0
,,,Lloyd Isgrove,o,mf,28,4,2,2,0
,,,Michael Helik,o,df,26,6,2,3,0
,,,Amadou Bakayoko,o,mf,25,10,1,3,0
,,,Jordan Williams,o,df,22,0,3,4,0
,,,Elias Kachunga,o,fw,29,24,1,4,0
,,,Devante Cole,x,fw,26,12,1,5,1
,,,Josh Sheehan,o,mf,26,9,1,5,1
,,Burton vs Oxford,Lucas Akins,x,fw,32,23,4,1,0
,,,Mark Sykes,o,mf,24,10,3,1,0
,,,Conor Shaughnessy,o,df,25,4,1,2,0
,,,Anthony Forde,o,df,28,6,3,2,0
,,,Thomas O'connor,x,mf,22,5,1,3,0
,,,Daniel Agyei,o,fw,24,9,3,3,0
,,,Frazer Blake-Tracy,o,df,26,0,1,4,1
,,,John Mousinho,o,df,35,0,3,4,1
,,QPR vs Leyton Orient,Lyndon Dykes,o,fw,26,24,2,1,0
,,,Aaron Drinan,o,fw,23,14,1,1,0
,,,Dominic Ball,o,mf,26,3,3,2,0
,,,Ruel Sotiriou,x,mf,21,10,2,2,0
,,,Andre Dozzell,o,mf,22,2,1,3,0
,,,Tom James,o,df,25,7,1,3,0
,,,Charlie Kelman,o,fw,20,0,2,4,0
,,,Daniel Kemp,o,mf,22,5,2,4,0
,,,Albert Adomah,o,mf,34,51,2,5,1
,,Oldham vs Accrington,Sam Hart,o,df,25,1,1,1,0
,,,Ross Sykes,o,df,22,4,2,1,0
,,,Davis Keillor-Dunn,o,mf,24,25,2,2,0
,,,Dion Charles,x,fw,26,27,2,2,0
,,,Dylan Bahamboula,o,mf,26,10,2,3,0
,,,David Morgan,o,mf,27,0,2,3,0
,,,Callum Whelan,o,mf,23,1,2,4,0
,,,Toby Savin,o,gk,20,0,2,4,0
,,,Nicky Adams,x,mf,35,1,2,5,0
,,,Tommy Leigh,o,mf,21,6,1,5,0
,,,Junior Luamba,o,fw,18,2,2,6,1
,,,Matt Butcher,x,mf,24,6,2,6,1
,,Wycombe vs Stevenage,Joe Jacobson,o,df,35,18,3,1,0
,,,Luke Norris,o,fw,28,34,2,1,0
,,,Daryl Horgan,o,mf,29,5,2,2,0
,,,Luther Wildin,x,df,24,2,2,2,0
,,,Olly Pendlebury,o,mf,19,2,1,3,0
,,,Jake Reeves,o,mf,28,2,1,3,0
,,,Anis Mehmeti,o,mf,20,10,2,4,0
,,,Ben Coker,o,df,32,1,2,4,0
,,,Tjay de Barr,o,fw,21,4,1,5,1
,,Gillingham vs Cheltenham,Olly Lee,o,mf,30,7,2,1,0
,,,Conor Thomas,o,fw,28,13,3,1,0
,,,Stuart O'Keefe,x,mf,30,4,2,2,0
,,,Callum Wright,o,mf,21,13,2,2,0
,,,Danny Lloyd,o,fw,30,8,1,3,0
,,,Geroge Lloyd,o,fw,21,3,3,3,0
,,,Mustapha Carayol,o,mf,33,16,1,4,0
,,,Ben Tozer,o,df,31,5,3,4,0
,,,Daniel Adshead,o,mf,20,0,1,5,1
,,,Ellis Chapman,o,mf,20,0,2,5,1
,,Wigan vs Bolton,Max Power,o,mf,28,8,3,1,0
,,,Eoin Doyle,o,fw,33,34,2,1,0
,,,Thelo Aasgaard,o,mf,19,4,2,2,0
,,,Antoni Sarcevic,o,mf,29,10,2,2,0
,,,Jordan Jones,x,mf,27,4,1,3,0
,,,Kieran Lee,x,mf,33,28,2,3,0
,,,Tom Naylor,o,df,30,16,1,4,0
,,,Oladapo Afolayan,o,mf,24,13,2,4,0
,,,Stephen Humphrys,o,fw,24,17,1,5,0
,,,Josh Sheehan,o,mf,26,9,1,5,0
,,,Jamie Jones,o,mf,27,4,1,6,1
,,,Nathan Delfouneso,x,mf,30,15,2,6,1
,,Newcatle vs Burnley,Allan saint-Maximin,x,mf,24,26,3,1,0
,,,Chris Wood,o,fw,30,97,5,1,0
,,,Joe Willock,o,mf,22,17,2,2,0
,,,Ashley Barnes,o,fw,32,50,9,2,0
,,,Joelinton,o,fw,25,23,3,3,0
,,,Dwight McNeil,o,mf,22,7,5,3,0
,,,Sean Longstaff,o,mf,24,3,4,4,0
,,,Josh Brownhill,x,mf,26,18,3,4,0
,,,Miguel Almiron,x,mf,27,31,3,5,1
,,,Charile Taylor,o,df,28,3,5,5,1
,,Everton vs QPR,Mason Holgate,o,df,25,4,6,1,0
,,,Charlie Austin,o,fw,32,90,5,1,0
,,,Michael Keane,o,df,28,19,5,2,0
,,,Dominic Ball,o,mf,26,3,3,2,0
,,,Andros Townsend,o,mf,30,26,1,3,0
,,,Yoann Barbet,o,df,28,10,3,3,0
,,,Demerai Gray,o,mf,25,25,1,4,0
,,,Chris Willock,o,mf,23,12,2,4,0
,,,Anthony Gordon,o,mf,20,4,4,5,0
,,,Albert Adomah,o,mf,34,51,2,5,0
,,,Abdoulaye Doucoure,o,mf,28,33,2,6,0
,,,Stephen Duke-McKenna,o,mf,21,0,2,6,0
,,,Ben Godfrey,o,df,23,4,2,7,0
,,,Luke Amos,o,mf,24,8,3,7,0
,,,Tom davies,x,mf,23,5,7,8,1
,,,Jimmy Dunne,o,df,24,5,1,8,1
,,Reeds vs Fulham,Rodrigo,o,fw,30,67,2,1,0
,,,Josh Onomah,x,mf,24,9,3,1,0
,,,Damiel James,o,mf,24,18,1,2,0
,,,Ivan Cavaleiro,o,mf,28,34,3,2,0
,,,Kalvin Phillips,o,df,26,14,8,3,0
,,,Neeskens Kebano,o,mf,29,24,6,3,0
,,,Stuart Dallas,o,mf,30,32,7,4,0
,,,Joe Bryan ,x,df,28,12,4,4,0
,,,Adam Forshaw,x,mf,30,3,4,5,0
,,,Michael Hector,o,df,29,8,3,5,0
,,,Junior Firpo,o,df,25,7,1,6,0
,,,Alfie Mawson,o,df,27,8,3,6,0
,,,Joe Gellhardt,o,fw,19,3,1,7,0
,,,Bobby De Cordova-Reid,o,mf,28,48,3,7,0
,,,Stuart Mckinstry,o,mf,19,0,1,8,1
,,,Rodrigo Muniz,x,fw,20,9,1,8,1
,,Southampton vs Sheff utd,James Ward-prowse,o,mf,27,40,10,1,0
,,,Oliver Norwood,o,mf,30,18,4,1,0
,,,Che Adams,o,fw,25,55,3,2,0
,,,Rhian Brewstar,x,mf,21,15,3,2,0
,,,Armando Broja,x,fw,20,12,1,3,0
,,,Ben Osborn,o,mf,27,19,3,3,0
,,,Ibrahima Diallo,o,mf,22,1,2,4,0
,,,Oliver Mcburnie,x,fw,25,39,3,4,0
,,,Oriol Romeu,o,mf,30,7,7,5,1
,,Wolves vs Tottenham,Hwang Hee-chan,o,fw,25,16,1,1,0
,,,Harry Kane,o,fw,28,227,10,1,0
,,,Joao Moutinho,o,mf,35,17,4,2,0
,,,sergio Reguilon,o,df,25,5,2,2,0
,,,Ruben Neves,x,mf,24,23,5,3,0
,,,Bryan Gil,o,mf,20,7,1,3,0
,,,Leander Dendoncker,x,mf,26,12,4,4,0
,,,Pierre-Emile Hojbierg,x,mf,26,10,2,4,0
,,,Conor Coady,x,df,28,8,7,5,1
,,Aston Villa vs Chelsea,Anwar el Ghazi,o,mf,26,48,4,1,0
,,,Romelu Lukaku,o,fw,28,214,3,1,0
,,,Ashley young,x,df,36,34,1,2,0
,,,Mason Mount,o,mf,22,52,3,2,0
,,,Marvelous Nakamba,x,mf,27,2,3,3,0
,,,Ross Barkley,o,mf,28,31,4,3,0
,,,Ezri Konsa,o,df,24,6,3,4,0
,,,Ben Chilwell,x,df,25,11,2,4,0
,,,Emiliano Buendia,o,mf,25,29,1,5,1
,,,Reece James,o,df,22,11,3,5,1
,,Southampton vs Chelsea,Adam Armstrong,o,fw,24,58,1,1,0
,,,Marcos Alonso,o,df,31,33,6,1,0
,,,Theo Walcott,x,fw,32,87,2,2,0
,,,Mason Mount,x,mf,22,52,3,2,0
,,,Shane Long,o,fw,34,53,8,3,0
,,,Callum Hudson-Odoi,o,mf,21,10,5,3,0
,,,Will Smallbone,x,mf,21,0,3,4,0
,,,Ben Chilwell,o,df,25,11,2,4,0
,,,Oriol Romeu,o,mf,30,7,7,5,1
