name,season,team,player,score,position,age,goals,period,order,last
,,,Ibrahim Sangare,o,fw,28,40,1,4,0
,,,Igor Bandu Fila,o,df,27,3,1,5,1
,,Angers vs Nantes,Amine Salama,x,fw,22,3,1,1,0
,,,Andy Delort,o,fw,31,135,1,1,0
,,,Faouzi Ghoulam,x,df,31,4,1,2,0
,,,Mostafa Mohamed,o,fw,25,68,1,2,0
,,,Adrien Hunou,o,fw,28,64,1,3,0
,,,Florent Mollet,o,mf,31,56,1,3,0
,,,Sada Thioub,o,fw,27,23,3,4,1
,,,Joao Victor,o,df,24,0,1,4,1
,,Paris FC vs Annecy,Khalid Boutaib,o,fw,35,86,2,1,0
,,,Kevin Farade,o,fw,27,46,1,1,0
,,,Warren Caddy,o,fw,25,33,3,2,0
,,,Kevin Mouanga,o,df,22,6,2,2,0
,,,Ilan Kebbal,x,mf,24,13,1,3,0
,,,Kevin Testud,x,fw,30,38,2,3,0
,,,Lebogang Phiri,o,mf,28,10,1,4,0
,,,Mayden El Jaouhari,o,mf,23,5,3,4,0
,,,Cyril Mandouki,x,mf,31,10,6,5,0
,,,Clement Billemaz,x,fw,24,17,1,5,0
,,,Yoan Kore,o,df,18,1,2,6,0
,,,Gaby Jean,o,df,22,1,1,6,0
,,,Florent Hanin,o,df,32,5,3,7,0
,,,Jonathan Goncalves,o,df,33,7,8,7,0
,,,Samir Chergui,x,df,23,3,3,8,1
,,,Arnold Temanfo,o,df,29,6,2,8,1
,,LOSC Lille vs Olympique Lyon,Angel Gomes,o,mf,22,40,2,1,0
,,,Corentin Tolisso,o,mf,28,51,5,1,0
,,,Remy Cabella,o,mf,32,86,1,2,0
,,,Moussa Dembele,o,fw,26,152,5,2,0
,,,Mohamed Bayo,x,fw,24,58,1,3,0
,,,Maxence Caqueret,o,mf,22,10,7,3,0
,,,Timothy Weah,x,mf,22,23,4,4,1
,,,Dejan Lovern,o,df,33,21,5,4,1
,,Lorient vs RC Lens,Enzo Le Fee,x,mf,22,8,6,1,0
,,,Przemyslaw Frankowski,o,mf,27,52,2,1,0
,,,Montassar Talbi,o,df,24,4,1,2,0
,,,Florain Sotoca,o,fw,32,61,4,2,0
,,,Sirine Doucoure,o,fw,20,11,1,3,0
,,,Adrien Thomasson,o,mf,29,57,1,3,0
,,,Ibrahima Kone,x,fw,23,35,2,4,1
,,,Facundo Medina,o,df,23,7,3,4,1
,,Annecy vs Marseille,Ahmed Kashi,x,mf,34,12,4,1,0
,,,Matteo Guendouzi,o,mf,23,10,2,1,0
,,,Yohan Demoncy,o,mf,26,9,1,2,0
,,,Alexis Sanchez,o,fw,34,194,1,2,0
,,,Kevin Mouanga,o,df,22,6,2,3,0
,,,Nuno Tavares,x,df,22,9,1,3,0
,,,Ibrahima Balde,o,fw,19,6,3,4,0
,,,Jonathan Clauss,o,df,30,37,1,4,0
,,,Gaby Jean,o,df,22,1,1,5,0
,,,Azzedine Ounahi,o,mf,22,10,1,5,0
,,,Mayden El Jaouhari,o,mf,23,5,3,6,0
,,,Vitinha,o,fw,22,44,1,6,0
,,,Steve Shamal,o,fw,26,20,1,7,0
,,,Valentin Roniger,o,mf,28,13,4,7,0
,,,Francois Lajugie,o,df,26,10,1,8,1
,,,Leonardo Balerdi,x,df,23,3,3,8,1
UEFA Champions League,2015-2016,PSV vs Atletico Madrid,Marco van Ginkel,o,mf,23,31,1,1,0
,,,Antoine Griezmann,o,fw,24,106,2,1,0
,,,Andres Guardado,o,mf,29,34,2,2,0
,,,Gabi,o,mf,32,29,10,2,0
,,,Davy Propper,o,mf,24,36,1,3,0
,,,Koke,o,mf,23,30,8,3,0
,,,Jeffrey Bruma,o,df,24,13,3,4,0
,,,Saul Niguez,o,mf,21,23,5,4,0
,,,Hector Moreno,o,df,27,22,1,5,0
,,,Fernando Torres,o,fw,31,235,9,5,0
,,,Maxime Lestienne,o,fw,23,47,1,6,0
,,,Jose Maria Gimenez,o,df,20,3,3,6,0
,,,Santiago Arias,o,df,23,6,3,7,0
,,,Filipe Luis,o,df,30,15,5,7,0
,,,Luciano Narsingh,x,fw,25,43,4,8,1
,,,Juanfran Torres,o,df,30,28,6,8,1
,,Real Mardid vs Atletico Madrid,Lucas Vazquez,o,df,24,23,4,1,0
,,,Antoine Griezmann,o,fw,24,106,2,1,0
,,,Marcelo,o,df,27,29,10,2,0
,,,Gabi,o,mf,32,29,10,2,0
,,,Gareth Bale,o,fw,26,118,3,3,0
,,,Saul Niguez,o,mf,21,23,5,3,0
,,,Sergio Ramos,o,df,29,61,11,4,0
,,,Juanfran Torres,x,df,30,28,6,4,0
,,,Cristiano Ronaldo,o,fw,30,487,7,5,1
UEFA Europa League,2015-2016,Athletic Bilbao vs Sevilla Fc,Raul Garcia,o,fw,29,78,1,1,0
,,,Coke,o,df,28,33,5,1,0
,,,Borja Viquera,o,fw,28,77,2,2,0
,,,Grzegorz Krychowiak,o,mf,25,17,2,2,0
,,,Mikel San Jose,o,mf,26,31,7,3,0
,,,Timothe Kolodziejczak,o,df,24,7,2,3,0
,,,Benat Etxebarria,x,mf,28,35,4,4,0
,,,Steven Nzonzi,o,mf,27,17,1,4,0
,,,Markel Susaeta,o,fw,28,51,10,5,1
,,,Kevin Gameiro,o,fw,28,163,3,5,1
,2016-2017,Besiktas vs Olympique Lyon,Ryan Babel,o,fw,30,85,1,1,0
,,,Nabil Fekir,o,mf,23,34,4,1,0
,,,Cenk Tosun,o,fw,25,138,3,2,0
,,,Corentin Tolisso,o,mf,22,29,4,2,0
,,,Atiba Hutchinson,o,mf,33,39,4,3,0
,,,Rachid Ghezzal,o,fw,24,15,5,3,0
,,,Tolgay Arslan,o,mf,26,48,3,4,0
,,,Maciej Rybus,o,df,27,35,1,4,0
,,,Talisca,o,mf,22,41,1,5,0
,,,Mathieu Valbuena,o,mf,32,67,2,5,0
,,,Necip Uysal,o,df,25,5,9,6,0
,,,Mouctar Diakhaby,o,df,20,5,3,6,0
,,,Dusko Tosic,x,df,31,8,2,7,0
,,,Christophe Jallet,x,df,33,28,3,7,0
,,,Matej Mitrovic,x,df,23,5,1,8,1
,,,Maxime Gonalons,o,mf,27,13,8,8,1
,2018-2019,Frankfurt vs Chelsea,Sebastian Haller,o,fw,24,92,2,1,0
,,,Ross Barkley,o,mf,25,38,2,1,0
,,,Luka Jovic,o,fw,21,53,2,2,0
,,,Cesar Azpilicueta,x,df,29,11,7,2,0
,,,Jonathan de Guzman,o,mf,31,61,2,3,0
,,,Jorginho,o,mf,27,20,1,3,0
,,,Martin Hinteregger,x,df,26,33,1,4,0
,,,David Luiz,o,df,31,32,9,4,0
,,,Goncalo Paciencia,x,fw,24,36,1,5,1
,,,Eden Hazard,o,fw,27,160,7,5,1
,2021-2022,Shreiff vs Braga,Gustavo Dulanto,x,df,26,18,2,1,0
,,,Ricardo Horta,o,fw,27,103,6,1,0
,,,Bruno,x,fw,27,24,1,2,0
,,,Al-Musrati,o,mf,25,8,2,2,0
,,,Stjepan Radeljic,x,df,24,12,2,3,0
,,,Abel Ruiz,x,fw,21,30,3,3,0
,,,Khalid Basit,o,fw,25,38,1,4,0
,,,David Carmo,x,df,22,1,4,4,0
,,,Sebastian Thill,o,mf,28,70,2,5,1
,,,Francisco Moura,o,df,22,6,3,5,1
,,Rangers vs Frankfurt,James Tavernier,o,df,30,92,7,1,0
,,,Christopher Lenz,o,df,27,15,1,1,0
,,,Steven Davis,o,mf,36,48,9,2,0
,,,Ajdin Hrustic,o,mf,25,22,2,2,0
,,,Scott Arfield,o,mf,33,81,4,3,0
,,,Daichi Kamada,o,mf,25,56,4,3,0
,,,Aaron Ramsey,x,mf,31,75,1,4,0
,,,Filip Kostic,o,mf,29,75,4,4,0
,,,Kemar Roofe,o,fw,28,130,2,5,1
,,,Rafael Borre,o,fw,26,98,1,5,1
,2022-2023,Stade Ren vs Shakhtar,Desire Doue,o,fw,17,1,2,1,0
,,,Yegor Nazaryna,o,mf,25,7,3,1,0
,,,Jeremy Doku,x,fw,20,17,3,2,0
,,,Gerogiy Sudakov,o,mf,20,11,5,2,0
,,,Birger Meling,x,df,28,12,2,3,0
,,,Artem Bondarenko,o,mf,22,23,4,3,0
,,,Amine Gouiri,o,fw,22,62,1,4,0
,,,Valeriy Bondar,x,df,23,2,6,4,0
,,,Flavien Tait,o,mf,29,32,4,5,0
,,,Danylo Sikan,x,fw,21,16,4,5,0
,,,Warmed Omari,o,df,22,1,6,6,0
,,,Yukhym Konoplya,o,df,23,4,4,6,0
,,,Lesley Ugochukwu,x,mf,18,1,4,7,1
,,,Kevin Kelsy,o,fw,18,11,1,7,1
,,Leverkusen vs AS Monaco,Sardar Azmoun,o,fw,27,115,2,1,0
,,,Axel Disasi,o,df,24,19,3,1,0
,,,Nadiem Amiri,o,mf,26,36,4,2,0
,,,Eliot Matazo,x,mf,20,3,5,2,0
,,,Edmond Tapsoba,o,df,23,20,4,3,0
,,,Breel Embolo,o,fw,25,89,1,3,0
,,,Patrick Schick,o,fw,26,82,3,4,0
,,,Kevin Volland,o,fw,30,169,3,4,0
,,,Moussa Diaby,o,fw,23,60,4,5,1
,,Sporting vs Arsenal,Jerry St. Juste,o,df,26,14,1,1,0
,,,Martin Odrgaard,o,mf,24,55,3,1,0
,,,Ricardo Esgaio,o,df,29,43,8,2,0
,,,Bukayo Saka,o,fw,21,60,6,2,0
,,,Goncalo Inacio,o,df,21,11,4,3,0
,,,Leandro Trossard,o,fw,28,102,1,3,0
,,,Arthur Gomes,o,fw,24,26,1,4,0
,,,Gabriel Martinelli,x,fw,21,39,4,4,0
,,,Nuno Santos,o,df,27,51,3,5,1
,,Sevilla vs AS Roma,Lucas Ocampos,o,fw,28,91,4,1,0
,,,Bryan Cristante,o,mf,27,35,5,1,0
,,,Erik Lamela,o,fw,30,76,2,2,0
,,,Gianluca Mancini,x,df,26,19,4,2,0
,,,Ivan Rakitic,o,mf,34,120,7,3,0
,,,Roger Ibanez,x,df,24,11,4,3,0
,,,Gonzalo Montiel,o,df,25,9,2,4,1
UEFA Conference League,2021-2022,PAOK vs Midtiylland,Antonio Colak,o,fw,28,151,2,1,0
,,,Max Meyer,x,mf,26,66,1,1,0
,,,Sidcley,o,df,28,16,1,2,0
,,,Joel Andersson,o,df,25,21,4,2,0
,,,Stefan Schwab,o,mf,31,100,2,3,0
,,,Nikolas Dyhr,o,df,20,3,4,3,0
,,,Alexandru Mitrita,o,fw,26,64,1,4,0
,,,Victor Lind,o,fw,18,44,3,4,0
,,,Jasmin Kurtic,o,mf,32,52,1,5,1
,2022-2023,KAA Gent vs Qarabag,Julien De Sart,o,mf,28,25,2,1,0
,,,Richard Almeyda,o,mf,33,66,10,1,0
,,,Hugo Cuypers,o,fw,25,82,1,2,0
,,,Adama Diakhaby,o,fw,26,12,1,2,0
,,,Gift Orban,o,fw,20,39,1,3,0
,,,Toral Bayramov,o,df,21,5,4,3,0
,,,Sulayman Marreh,o,mf,26,8,4,4,0
,,,Yassine Benzia,x,mf,28,25,1,4,0
,,,Cederick Van Daele,o,df,22,12,1,5,1
,,Ludogorets vs Anderlecht,Pipa,x,df,24,2,1,1,0
,,,Lior Refaelov,o,mf,36,153,2,1,0
,,,Dominik Yankov,x,mf,22,24,5,2,0
,,,Jan Vertonghen,o,df,35,50,1,2,0
,,,Pedro Naressi,x,mf,24,6,1,3,1
,,,Yari Verschaeren,o,mf,21,23,6,3,1
,,FC Basel vs Slovan Bratislava,Andy Diouf,o,mf,19,3,1,1,0
,,,Juraj Kucka,x,mf,35,65,1,1,0
,,,Zeki Amdouni,o,fw,22,72,1,2,0
,,,Tigran Barseghyan,x,fw,29,79,2,2,0
,,,Riccardo Calafiori,o,df,20,7,1,3,0
,,,Lucas Lovat,o,df,25,5,4,3,0
,,,Darian Males,o,mf,21,45,3,4,1
,,Alkmaar vs Anderlecht,Jordy Clasie,o,mf,31,22,4,1,0
,,,Jan Vertonghen,x,df,35,50,1,1,0
,,,Yukinari Sugawara,o,df,22,11,4,2,0
,,,Marco Kana,o,mf,20,1,4,2,0
,,,Tijjani Reijnders,o,mf,24,35,6,3,0
,,,Killian Sardella,x,df,20,3,4,3,0
,,,Mexx Meerdink,o,fw,19,46,4,4,1
