date,호기,total,mean,max,min,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-05-09,1,70011,2917,9982,0,9982,2,9982,9977,3206,0,0,0,0,6147,6070,3766,7707,7605,7155,5821,1340,14,0,0,2,0,0,0,4,1215
2020-05-10,1,92593,3858,7394,470,7394,470,470,2013,4706,2049,547,824,1764,1207,3101,5331,6145,5814,2677,3489,4142,5965,5553,7207,7394,7131,4864,3318,2991,3892
2020-05-11,1,54453,2269,7377,0,7377,4,3991,5549,7033,7377,6861,6921,4511,3025,1540,920,1401,1158,1102,1776,866,418,4,0,0,0,0,0,0,0
2020-05-12,1,62033,2585,5979,0,5979,139,139,2415,4409,2460,851,1890,1351,1782,510,609,1752,1532,2464,1201,0,1985,5524,5380,4240,5979,4355,3248,4506,3452
2020-05-13,1,43690,1820,5162,0,5162,16,3734,3197,4154,5162,4146,3906,2919,1722,1594,1397,774,262,0,1076,3533,2473,2075,1240,282,16,0,0,0,28
2020-05-14,1,46468,1936,7700,0,7700,14,0,0,0,0,0,14,51,0,119,244,895,1654,2936,2960,3133,3921,4384,1897,1056,2133,1439,4634,7700,7298
2020-05-15,1,56788,2366,9357,0,9357,14,4606,2017,398,1001,2874,3991,7818,9357,7492,3244,3159,2839,3183,1139,975,587,850,946,112,186,14,0,0,0
2020-05-16,1,9693,404,1629,0,1629,10,0,917,821,1062,368,10,472,452,0,40,52,230,1629,1528,477,0,0,0,758,286,522,0,0,69
2020-05-17,1,19946,831,2544,0,2544,3,0,16,4,0,0,62,310,51,171,2083,999,186,0,3,502,816,1200,1657,1377,1735,2365,2055,2544,1809
2020-05-18,1,68231,2843,9900,324,9900,324,1806,1166,552,1331,584,459,639,1612,1668,495,324,441,549,1617,2868,3304,1886,3265,2541,3509,9427,9891,9900,8395
2020-05-19,1,131418,5476,9389,309,9389,309,5743,4433,5417,1862,1841,581,2020,309,370,4195,9252,9389,9365,9143,9228,9251,8836,9325,6897,5027,4096,5182,6203,3453
2020-05-20,1,50527,2105,5921,0,5921,296,3175,1466,1834,1917,2087,3385,2341,1545,3751,5921,3862,1369,871,1487,296,0,0,559,1500,2442,2908,3596,2611,1604
2020-05-21,1,14995,625,1420,0,1420,8,1230,247,8,0,0,0,0,0,0,230,380,772,1018,1141,1093,1050,1420,1213,926,1032,943,898,731,663
2020-05-22,1,33942,1414,3881,149,3881,149,991,897,911,881,770,842,613,618,1343,1652,3469,3881,3490,2956,2596,2239,1693,1375,649,824,512,352,149,239
2020-05-23,1,2818,117,291,0,291,12,22,196,12,0,109,152,79,84,252,291,281,149,194,268,263,249,28,16,20,0,0,0,129,24
2020-05-24,1,29174,1216,5220,0,5220,4,779,1175,1526,1821,2655,3141,5220,4454,3025,1463,1220,1122,566,271,602,81,11,4,0,0,29,9,0,0
2020-05-25,1,12102,504,2772,0,2772,26,130,0,0,0,80,1223,1612,428,324,0,0,42,342,480,380,646,1217,187,0,26,83,67,2772,2063
2020-05-26,1,16676,695,3198,0,3198,25,1583,579,237,987,994,112,428,479,1168,398,255,305,0,0,0,275,170,443,25,89,402,2982,3198,1567
2020-05-27,1,85067,3544,9548,335,9548,335,3213,5671,5431,4682,5024,7291,9548,4302,6651,6068,6174,5067,2959,1924,899,482,335,790,1743,1622,1560,1458,1379,794
2020-05-28,1,50457,2102,7766,0,7766,152,1886,2493,1848,1546,1584,443,0,0,0,0,0,152,2072,4545,7173,7766,4857,1801,1501,1116,2939,2394,2670,1671
2020-05-29,1,10340,431,1823,0,1823,10,1823,1555,414,881,563,265,229,383,941,765,484,429,140,652,537,269,0,10,0,0,0,0,0,0
2020-05-30,1,6008,250,1203,0,1203,112,0,0,0,0,0,0,0,0,0,0,0,211,241,355,535,260,261,170,112,320,961,786,1203,593
2020-05-31,1,20589,858,2510,0,2510,135,170,958,458,689,1344,1548,897,1594,2479,2108,2061,2510,1775,867,425,361,210,0,0,135,0,0,0,0
